,region_name,decade,percentage_non_elite,N_est,total_n
0,Chinese world,730,16.666666666666664,10.89121002649651,6
1,Chinese world,1040,57.14285714285714,11.539985242906065,7
2,Chinese world,1340,66.66666666666666,46.072391643484444,6
3,Chinese world,1500,50.0,73.25658844684517,8
4,Chinese world,1510,33.33333333333333,45.227454243742585,6
5,Chinese world,1550,85.71428571428571,137.12573812686082,7
6,Chinese world,1600,42.857142857142854,93.84286141138921,7
7,Chinese world,1610,66.66666666666666,102.68039560124363,6
8,Chinese world,1620,93.33333333333333,263.5526234468131,15
9,Chinese world,1630,53.84615384615385,205.875527844005,13
10,Chinese world,1640,50.0,271.5059290834786,16
11,Chinese world,1650,84.61538461538461,339.92694642062395,13
12,Chinese world,1660,73.68421052631578,793.4207291639857,19
13,Chinese world,1670,80.0,294.99333193080037,10
14,Chinese world,1680,64.28571428571429,440.1401081306936,14
15,Chinese world,1700,71.42857142857143,391.18342422914367,7
16,Chinese world,1710,66.66666666666666,217.62872587132227,6
17,Chinese world,1720,100.0,99.26274899470728,8
18,Chinese world,1730,62.5,219.59723907758126,8
19,Chinese world,1750,66.66666666666666,125.7405179474302,6
20,Chinese world,1760,70.0,249.34709316879105,10
21,Chinese world,1780,62.5,331.46118713782323,8
22,Chinese world,1790,87.5,300.4356657444277,8
23,Chinese world,1800,63.63636363636363,550.4845631171853,11
24,Chinese world,1810,75.0,227.93491145157626,8
25,Chinese world,1820,100.0,259.5321789137305,6
26,Chinese world,1830,63.63636363636363,434.79878379490486,11
27,Chinese world,1840,80.0,369.271874088939,10
32,Italy,1460,87.5,1287.8706301456832,8
33,Italy,1470,100.0,678.8594253353842,7
34,Italy,1480,75.0,3568.083745595312,8
35,Italy,1500,88.88888888888889,2686.5126055187684,18
36,Italy,1520,92.85714285714286,4218.691318782869,14
37,Italy,1530,87.5,2007.0976656871746,8
38,Italy,1540,92.3076923076923,8741.186919056361,13
39,Italy,1560,81.81818181818183,5667.564588868084,11
40,Italy,1570,83.33333333333334,5713.775494921427,12
41,Italy,1580,70.0,11001.692451777793,10
42,Italy,1600,80.0,11222.267822357362,15
43,Italy,1610,50.0,6714.26456311456,10
44,Italy,1620,66.66666666666666,12543.904506414832,9
45,Italy,1640,88.88888888888889,10994.73293899171,9
46,Italy,1650,66.66666666666666,4480.091598424283,6
47,Italy,1660,83.33333333333334,7247.865825557874,6
48,Italy,1690,87.5,5124.705636050622,8
49,Italy,1700,44.44444444444444,9365.640943885941,9
50,Italy,1710,87.5,6600.793870350975,8
51,Italy,1720,100.0,10226.300155969897,6
52,Italy,1740,81.81818181818183,13042.882933046903,11
53,Italy,1750,55.55555555555556,8220.180587036068,9
54,Italy,1760,57.14285714285714,11083.805441315817,14
55,Italy,1780,91.66666666666666,13243.87167076715,12
56,Italy,1790,62.5,8617.005536015318,8
57,Italy,1800,83.33333333333334,12999.483863213802,12
58,Italy,1810,75.0,11418.374721700266,12
59,Italy,1820,66.66666666666666,14592.42911455505,18
60,Italy,1830,92.85714285714286,12467.45150698765,14
61,Italy,1840,56.25,24344.0801919715,16
66,Japan,1180,7.6923076923076925,53.14390723825428,13
67,Japan,1190,14.285714285714285,33.20356768167492,7
68,Japan,1210,14.285714285714285,34.457588084124104,7
69,Japan,1240,10.0,55.16385135038635,10
70,Japan,1280,0.0,73.78201222540679,9
71,Japan,1560,33.33333333333333,70.03480548272866,6
72,Japan,1570,28.57142857142857,29.789944717006644,7
73,Japan,1580,57.14285714285714,5.654466481131974,7
74,Japan,1590,33.33333333333333,26.550600391616566,6
75,Japan,1600,50.0,47.705012299520234,6
76,Japan,1610,33.33333333333333,101.24289921619878,12
77,Japan,1620,62.5,32.892305270644925,8
78,Japan,1630,66.66666666666666,48.19198282741348,6
79,Japan,1640,42.857142857142854,109.93644779654197,7
80,Japan,1650,80.0,142.46106253483325,10
81,Japan,1660,90.9090909090909,119.33455562437378,11
82,Japan,1670,60.0,42.246164967174536,10
83,Japan,1680,83.33333333333334,172.21584063705222,18
84,Japan,1690,93.75,82.77642443698127,16
85,Japan,1700,73.68421052631578,201.81891533077524,19
86,Japan,1710,100.0,41.487082411750706,11
87,Japan,1720,93.33333333333333,122.63299496983878,15
88,Japan,1730,91.66666666666666,78.27549606791443,12
89,Japan,1740,90.0,140.50253232508678,10
90,Japan,1750,89.47368421052632,101.01105924956876,19
91,Japan,1760,100.0,263.25267232175923,26
92,Japan,1770,95.65217391304348,279.0671887016822,23
93,Japan,1780,90.2439024390244,329.0185833182871,41
94,Japan,1790,93.93939393939394,246.30271906604216,33
95,Japan,1800,97.43589743589743,403.7005574970727,39
96,Japan,1810,100.0,313.0116657566863,34
97,Japan,1820,97.36842105263158,314.17804318667265,38
98,Japan,1830,90.9090909090909,221.16857142946398,33
99,Japan,1840,86.66666666666667,375.66525448429513,45
104,United Kingdom,1580,62.5,1370.7415661637028,8
105,United Kingdom,1600,63.63636363636363,2775.8896841512083,11
106,United Kingdom,1610,87.5,1678.214767505515,8
107,United Kingdom,1620,100.0,1617.3984308843835,12
108,United Kingdom,1640,100.0,2309.533012930569,7
109,United Kingdom,1650,71.42857142857143,1300.3029061449854,7
110,United Kingdom,1690,57.14285714285714,1127.6018651058714,7
111,United Kingdom,1720,88.88888888888889,3065.1523374788585,9
112,United Kingdom,1730,83.33333333333334,2207.818524950038,12
113,United Kingdom,1740,78.57142857142857,3481.004957350868,14
114,United Kingdom,1750,75.0,2651.1921482898742,12
115,United Kingdom,1760,89.65517241379311,4118.369529249343,29
116,United Kingdom,1770,83.33333333333334,4083.626138883562,12
117,United Kingdom,1780,88.46153846153845,6012.82321368671,26
118,United Kingdom,1790,75.86206896551724,4690.671003651324,29
119,United Kingdom,1800,73.52941176470588,7343.164191192906,34
120,United Kingdom,1810,77.77777777777779,6183.501727849928,36
121,United Kingdom,1820,90.625,8466.536522120427,32
122,United Kingdom,1830,84.0,7497.355051766423,50
123,United Kingdom,1840,85.45454545454545,12298.47113569014,55
