region_name,chao1,jackknife,ichao1,f1,f2,n,total_chao,total_jackknife,S_obs,detection_ratio_chao,detection_ratio_jackknife,generalized_chao_f0,generalized_chao_max_f0,generalized_chao_min_f0,generalized_chao_f1,generalized_chao_f2,generalized_chao_count,generalized_chao_total,generalized_chao_detection_ratio,generalized_vs_standard_chao_ratio,generalized_chao_vs_jackknife_ratio
Arabic world,12193,2262,12193,1120,80,1280,13393,3462,1200,0.08959904427686105,0.3466204506065858,9.136834394312856,104.53454708243582,1.0708917875881507,1122,80,331,1211.136834394313,0.992443506694683,0.0007493508073741374,0.004039272499696223
Central Europe,454703,16377,454703,8293,205,8703,463201,24875,8498,0.018346247093594358,0.3416281407035176,39.42618802068849,175.59684315645347,4.166659823602308,8295,205,1008,8539.426188020689,0.995381958549052,8.670756080493969e-05,0.0024074121036019107
Chinese world,16783,2842,16783,1376,124,1624,18283,4342,1500,0.08204342832139146,0.34546292031321973,7.076392440041472,72.5062970748083,0.3233164604562646,1380,124,535,1511.0763924400414,0.9953045562417813,0.0004216404957422077,0.002489934004236971
East Slavic,147389,7588,147389,3795,122,4039,151306,11505,3917,0.02588793570644918,0.3404606692742286,26.15116523865065,140.40199322528804,2.953521449325577,3797,122,568,3945.1511652386507,0.9933679526493456,0.00017742955877745727,0.0034463844542238597
France,271489,34314,271489,16710,1121,18952,289320,52145,17831,0.06163072030969169,0.34195033080832293,14.85305861893487,79.5354448147573,1.241362265568949,16719,1122,4762,17855.853058618934,0.9991677025149683,5.470961482393346e-05,0.0004328571026092811
German world,1136905,57490,1136905,28370,957,30284,1166232,86817,29327,0.025146797549715664,0.3378025041178571,31.797947162536317,149.66165459444966,1.8199875528395253,28382,957,4054,29370.797947162537,0.9989169193091705,2.7968869133776627e-05,0.0005531039687343245
Greek World,11590,2035,11590,1040,58,1156,12688,3133,1098,0.08653846153846154,0.3504628151931056,13.193451305173827,163.0017585067566,0.0516002565045074,1045,58,294,1116.1934513051738,0.9881267737047252,0.001138347826158225,0.006483268454630873
Indian world,3234,732,3234,378,33,444,3645,1143,411,0.11275720164609053,0.35958005249343833,8.411068474350738,67.00153761113651,1.0302060871397467,378,34,140,420.4110684743507,0.9799455257465026,0.002600825131215442,0.011490530702664942
Italy,632629,27743,632629,13661,554,14769,646844,41958,14215,0.02197593237318426,0.33879117212450544,29.000449198410394,137.47722980693803,1.3507391133359623,13671,554,2457,14254.000449198411,0.9979640235689516,4.584116314365986e-05,0.001045324917940035
Japan,10524,1766,10524,886,63,1012,11473,2715,949,0.08271594177634446,0.34953959484346225,8.943527154809816,116.83555939429468,1.1762989703789848,886,63,266,957.9435271548098,0.9906638263099152,0.0008498220405558549,0.005064284912123338
Korea,2019,286,2019,169,10,189,2198,465,179,0.08143767060964513,0.3849462365591398,10.5809582364973,109.57533848106306,0.886938566148799,169,10,49,189.5809582364973,0.9441876529429826,0.005240692539126944,0.03699635747027028
Latin World,1475,509,1475,257,36,329,1768,802,293,0.16572398190045248,0.3653366583541147,3.7263899979870985,40.98705430449241,0.4324063440114098,257,37,141,297.7263899979871,0.987441663014832,0.0025263661003302362,0.007321001960681923
Low countries,179950,13729,179950,6698,530,7758,187178,20957,7228,0.03861564927502164,0.3448966932289927,12.734861493396314,85.39988658933193,1.8092829975807825,6702,531,2067,7245.734861493396,0.9982412197467524,7.076888854346382e-05,0.0009275884254786449
Nordic countries,89028,10438,89028,5163,251,5665,94442,15852,5414,0.057326189619025435,0.34153419126924045,21.203340615025066,102.20632774134327,1.8343323864534589,5163,251,985,5435.203340615025,0.9960988873301977,0.00023816485392264306,0.002031360472794124
Northern China,899,321,899,161,26,213,1086,508,187,0.1721915285451197,0.36811023622047245,5.528264754340376,63.85127203669806,0.2258572167347193,162,26,91,193.52826475434037,0.9712859576156558,0.006149349003715657,0.017222008580499614
Northern Japan,1916,232,1916,148,7,162,2071,387,155,0.0748430709802028,0.4005167958656331,11.495416479670048,148.71011650018409,3.015263722004612,148,7,37,166.49541647967004,0.9309565589087931,0.005999695448679566,0.04954920896409504
Northwestern Europe,1430601,138280,1430601,67449,3603,74655,1501653,209332,71052,0.04731585792456713,0.33942254409263756,19.435662682361308,98.08889112883143,1.0998863503985528,67480,3606,14944,71105.43566268236,0.9997265334166795,1.358566272661721e-05,0.00014055295546978094
Persian world,9473,892,9473,450,25,500,9948,1367,475,0.04774829111379172,0.3474762253108998,11.429524548923487,117.9054282907618,2.4156918641455563,450,25,108,486.4295245489235,0.976503226115803,0.001206536952277366,0.012813368328389559
Portugal,12116,1164,12116,694,24,742,12834,1882,718,0.055945145706716534,0.38150903294367694,25.80444526327546,127.4021510904514,3.1972162940746625,694,24,108,743.8044452632755,0.9653074871660093,0.002129782540712732,0.02216876740831225
Southern China,1369,576,1369,270,49,368,1688,895,319,0.18898104265402843,0.3564245810055866,4.0873584809882315,49.11400341663812,0.3298278788257578,271,49,184,324.08735848098826,0.9873490609468436,0.002985652652292353,0.007096108473937902
Southern Japan,1663,403,1663,215,20,255,1898,638,235,0.1238145416227608,0.3683385579937304,6.9614196400561035,83.31721029015122,1.8739969101822875,215,20,83,241.9614196400561,0.9712292164163527,0.004186061118494349,0.01727399414405981
Southwestern Europe,782861,39560,782861,19378,844,21066,803083,59782,20222,0.0251804607991951,0.3382623532166873,27.089198815637257,123.13669702000576,0.7952534164170104,19393,844,3664,20264.089198815636,0.9986622016156055,3.4602820699507646e-05,0.0006847623563103453
Spain,125593,9542,125593,4785,240,5265,130618,14567,5025,0.038470961123275506,0.3449577812864694,23.449546246419597,96.92317280226904,1.6444340145845495,4786,240,985,5049.449546246419,0.9953550994158485,0.00018671061481467596,0.0024575085146111503
United Kingdom,158408,20522,158408,9980,704,11388,169092,31206,10684,0.06318453859437466,0.34237005704031276,13.991173664370637,70.79988963285942,1.0586446994759495,9984,705,2917,10702.99117366437,0.9986921681428554,8.832365577730061e-05,0.0006817646264677242
