,region_name,year,log_wellbeing_std,N_est_log_std,N_est,wellbeing_weighted
0,Arabic world,1820,-0.48060652161890494,0.6913525364556895,159.8506294450688,0.9075462734942772
1,Arabic world,1830,-2.126505167670305,0.7146782878426915,189.6994766455392,0.6510060227966701
2,Arabic world,1840,-2.179614077534867,0.8191344723879139,408.34239601916033,0.6440644684757245
3,Arabic world,1850,-1.3924827420624475,0.8845912676848507,660.1926304484095,0.7549728399464987
4,Arabic world,1860,-0.6650726994475243,0.9166955507982602,835.6114481106611,0.8743755222174067
5,Arabic world,1870,-0.9148681325725575,0.8842790883156084,658.6816847671411,0.8313813377345791
6,Arabic world,1880,-1.3637465625537706,0.9745193211226965,1277.379678708767,0.759364721264249
14,Chinese world,1820,1.0420849707159585,0.757383650001502,259.5321789137305,1.2341043654
15,Chinese world,1830,1.3373919547398712,0.8276877272020468,434.79878379490486,1.3099034005
16,Chinese world,1840,1.4638653231480077,0.8054316694089944,369.271874088939,1.3437740658
17,Chinese world,1850,0.4688295732954586,0.8018078733752997,359.57975579733255,1.0992559477000001
18,Chinese world,1860,0.3352331548053509,0.8342000990186361,456.0860309895971,1.0700089575
19,Chinese world,1870,0.4633590497166262,0.8093435859164981,380.028024073183,1.0980427878
20,Chinese world,1880,0.32314227730737277,0.8197755164555101,410.2681724351062,1.0674007300000001
21,France,1820,1.0341222817268458,1.286502601457548,12611.867746251417,1.2321224151
22,France,1830,1.334976590023645,1.28303329391469,12294.782460304881,1.3092649221000001
23,France,1840,1.7798264499143441,1.3647519253502327,22397.642731202577,1.432267813
24,France,1850,1.5547056996059625,1.3640039136638518,22275.01448689399,1.3686410434
25,France,1860,1.8552041553720056,1.4015614158949046,29344.996514085426,1.4542264472
26,France,1870,2.9660097194168342,1.3595999539408488,21566.526049198073,1.8197350233999998
27,France,1880,3.5859374959597883,1.4139241865092813,32132.232209098434,2.0623037942
28,German world,1820,1.4948059283987662,1.4623368410001347,45841.43494174881,1.3521927073690154
29,German world,1830,1.6528993924878945,1.4711053237893803,48888.65613106463,1.3960387560191136
30,German world,1840,1.9840872016124216,1.5366881861493655,79114.51000715444,1.4925547224177325
31,German world,1850,2.0029661717994633,1.5118719121038073,65940.65534127453,1.4982532991775972
32,German world,1860,2.3794091787596434,1.5453978492401257,84337.07764713101,1.616535399001243
33,German world,1870,3.341044897770864,1.5319595727704474,76415.85822383554,1.9628391715137525
34,German world,1880,3.581034319063515,1.5874876226678882,114863.33305003389,2.06026372267438
35,Greek World,1820,0.7772639344523564,0.7788743840910864,303.87418184958034,1.1698683330130921
36,Greek World,1830,0.5903896303388325,0.7996059265034153,353.81516046087916,1.1265619948811076
37,Greek World,1840,0.8771051708094528,0.8856860430254043,665.518776795475,1.1936838790354745
38,Greek World,1850,1.1099149904370427,0.9573758985644227,1126.3533256120695,1.251117345292335
39,Greek World,1860,1.467493421105188,0.952146965920835,1083.9449091858255,1.3447585174242036
40,Greek World,1870,1.435958758139659,0.926146287193365,895.6307341231095,1.3362259228322115
41,Greek World,1880,1.8283597780166154,1.0123197822397356,1685.8173194817007,1.4463679524499538
42,Indian world,1820,-0.13064892500465766,0.5551664869887256,58.832292907903,0.9739731266452836
43,Indian world,1830,-1.088762030982142,0.6137519080773285,90.43971583946113,0.8027055735938209
44,Indian world,1840,-3.103130928898313,0.6751158251772217,141.8924124523527,0.5345292104226406
45,Indian world,1850,-1.7245033940442607,0.7102423920413509,183.62276989432584,0.7060338628867096
46,Indian world,1860,-2.4549947864078048,0.7120334280331265,186.05251044957333,0.6092404764406482
47,Indian world,1870,-1.1604348275945067,0.8073061133844566,374.3872903678098,0.7911762722470731
48,Indian world,1880,-2.1938291755711066,0.8501275493151225,512.6443402543439,0.6422190860978603
49,Italy,1820,1.0148102532243186,1.3063762878863596,14592.42911455505,1.2273287726
50,Italy,1830,0.9825923188120566,1.2849334543687434,12467.45150698765,1.2193730926000002
51,Italy,1840,0.9942331390140065,1.3761058374941793,24344.0801919715,1.2222416306000001
52,Italy,1850,1.3903205976509594,1.3619736942085596,21945.555982385835,1.3239730122
53,Italy,1860,1.9076023759168248,1.4119723702691946,31675.202724611867,1.4696888638
54,Italy,1870,0.460892592683792,1.3719161836080296,23606.884634733393,1.0974962568
55,Italy,1880,1.0695828573562454,1.4144117606336297,32247.42632267353,1.2409732642
56,Japan,1820,0.43656579219551944,0.7834177073662789,314.17804318667265,1.0921203431
57,Japan,1830,1.1447437602493606,0.7355901086523677,221.16857142946398,1.2599439515
58,Japan,1840,0.9869962173172548,0.8077703997804229,375.66525448429513,1.2204575114
59,Japan,1850,0.8290827371564737,0.7497804939767371,245.44593485262567,1.1821689731
60,Japan,1860,0.6983509988733609,0.9046903763234184,765.1338203312772,1.1513815644
61,Japan,1870,0.4160889369392894,0.9180357370375956,843.8714217938596,1.0876156353000002
62,Japan,1880,0.11827029768651888,0.9680146073218567,1217.8280219789465,1.0241601725
63,Korea,1820,1.9657498925071881,0.21403744143607956,4.811196078227679,1.487040396197853
64,Korea,1830,2.456322428360764,0.3442496418463654,12.511510528379183,1.6418279151537083
65,Korea,1840,2.540782087802228,0.54490129290082,54.562599215153845,1.6700581365564087
66,Korea,1850,2.3350978415692225,0.5994004220490382,81.39790799604964,1.6021411375899668
67,Korea,1860,2.1722556276822487,0.3425154379969769,12.353269051134392,1.5503351663323472
68,Korea,1870,0.7979479147169704,0.34216151974944575,12.321221685092322,1.1747628304753437
69,Korea,1880,0.3388006803176624,0.640511127299344,110.06653371232639,1.0707797561866226
70,Low countries,1820,1.5291706869016404,1.088281311828915,2944.0215102204916,1.3616048628971043
71,Low countries,1830,1.6825760716900295,1.110744209713572,3471.701524492682,1.4044264828970545
72,Low countries,1840,1.7273589537789187,1.1990012943392128,6635.374352787361,1.4171792816827735
73,Low countries,1850,2.4751135911336974,1.2151704490732291,7471.456438088207,1.6480672066758446
74,Low countries,1860,2.9697520516700187,1.248648735954232,9552.535730281414,1.8211101561470588
75,Low countries,1870,3.216565529725579,1.2295407853693618,8302.546192449914,1.9141348487680223
76,Low countries,1880,3.6656892130106957,1.2811201343748055,12123.348090398833,2.095771279440192
77,Nordic countries,1820,0.9474709547312373,1.1822107258154055,5866.037151638668,1.210759197806852
78,Nordic countries,1830,0.8222220404862925,1.1724625197287104,5460.997849306194,1.180532996140229
79,Nordic countries,1840,1.2266064981154399,1.2427015097829053,9144.535396276244,1.2809362826787352
80,Nordic countries,1850,1.9911615327846341,1.2539411603872186,9930.897264015694,1.494687550498484
81,Nordic countries,1860,2.2150984156437503,1.2903301382700112,12971.190490372064,1.5638003604193584
82,Nordic countries,1870,2.954358775087701,1.2904435661981577,12981.993681392483,1.8154604892483281
83,Nordic countries,1880,3.219044753528121,1.3478722720119518,19787.809958965903,1.915092984466353
105,Persian world,1820,-0.9270666254915905,0.741266838073744,230.57818635263317,0.8293367678
106,Persian world,1830,-2.5767193269882673,0.693047147574086,161.85122569558564,0.5944537323
107,Persian world,1840,-2.476233207132965,0.6966120268741596,166.14190679964244,0.60663426
108,Persian world,1850,-1.6972323976804857,0.7230192771516261,201.67560835423035,0.7099310611
109,Persian world,1860,-1.2041158620133325,0.8282700680538783,436.66115159493035,0.7842310993
110,Persian world,1870,-0.86293187646752,0.7542293118124347,253.59263218848355,0.840142857
111,Persian world,1880,-1.3032760225231,0.8903498001962455,688.6938882316256,0.7686903377000001
112,Portugal,1820,1.3754615080736698,0.8597749454225193,550.2596084231063,1.3200079474
113,Portugal,1830,1.6675628684510397,0.7891438245716942,327.6634970989206,1.4001769168999998
114,Portugal,1840,1.4270797299011504,0.9585338189530608,1135.966604482144,1.3338332336
115,Portugal,1850,1.7453010754300107,0.8810042569173121,643.0384311518488,1.4223210836
116,Portugal,1860,1.6105206833209234,0.9829378194996857,1358.7961545030248,1.3841477364
117,Portugal,1870,0.2811536652121835,0.9392552879215437,986.0852478275981,1.0583922818
118,Portugal,1880,0.7212738570035941,1.0466470647464778,2168.853020232981,1.156721343
140,Spain,1820,2.201023546411489,1.1144816697921693,3568.2533835238346,1.5593638757000001
141,Spain,1830,1.4137359955049198,1.026955450243573,1876.9914692621721,1.3302454663
142,Spain,1840,2.146838609147503,1.2157857530658345,7505.274401671756,1.542401632
143,Spain,1850,2.217809651574537,1.2120470410758022,7302.125260212515,1.5646564073
144,Spain,1860,2.1813195801583043,1.2624130023019793,10568.000618917862,1.5531742007
145,Spain,1870,1.7160526749017382,1.2443676873102232,9257.05094860068,1.4139487121
146,Spain,1880,1.688514563144269,1.3162941537786024,15694.272664260892,1.4061109617
147,United Kingdom,1820,1.4193632988570624,1.2322056879959626,8466.536522120427,1.3317573169
148,United Kingdom,1830,1.583548194860744,1.2156419127071918,7497.355051766423,1.3766323408
149,United Kingdom,1840,1.9666112437984329,1.2830741647035746,12298.47113569014,1.4872989619
150,United Kingdom,1850,2.17183068204744,1.2835787381595647,12344.10123106204,1.5502021912
151,United Kingdom,1860,2.5676445937809413,1.3144215026636157,15480.03869336164,1.6791381429
152,United Kingdom,1870,2.8745436390911157,1.2770280273534547,11764.644742003877,1.7864464335
153,United Kingdom,1880,3.4727539666717187,1.3404254435687333,18735.30044625974,2.015722192
