,region_name,year,log_height_std,N_est_log_std,N_est,height_weighted
0,Arabic world,1850,1.001219022227643,0.8050685747235907,660.1926304484095,166.35345737188516
1,Arabic world,1860,1.002814314467111,0.8342867576209639,835.6114481106611,167.71453879075926
2,Arabic world,1870,1.001837713394439,0.8047844595519457,658.6816847671411,166.88
3,Arabic world,1880,0.9996468231336615,0.8869123057818384,1277.379678708767,165.02288625151925
22,Chinese world,1810,1.0004484764726123,0.6731989796304808,227.93491145157626,165.7
23,Chinese world,1820,1.000566591484171,0.6892966253459462,259.5321789137305,165.8
24,Chinese world,1830,1.000566591484171,0.7532805298866637,434.79878379490486,165.8
25,Chinese world,1840,1.0010383402081442,0.7330252398097985,369.271874088939,166.2
26,Chinese world,1850,1.0010383402081442,0.7297272145923769,359.57975579733255,166.2
27,Chinese world,1860,1.0004484764726123,0.7592074546574377,456.0860309895971,165.7
28,Chinese world,1870,1.000566591484171,0.7365854841420495,380.028024073183,165.8
29,Chinese world,1880,0.9999753025245228,0.7460796084426864,410.2681724351062,165.3
30,France,1660,0.996751111389593,0.9803253136958083,2713.2483481333893,162.6
31,France,1670,0.9950581676962739,0.9617804188364679,2336.350208696622,161.2
32,France,1680,0.9954221757820263,1.073473005255983,5750.820976428447,161.5
33,France,1690,0.99524025633974,0.988911683860427,2907.7859522126,161.35
34,France,1710,0.9996196700457671,1.0091608208693208,3423.5996533583234,165.0
35,France,1720,0.9981906445351092,1.047799099157054,4675.3013343058765,163.8
36,France,1730,1.0011560999865639,1.0063901776945672,3347.9508854446303,166.3
37,France,1740,1.0020956368861935,1.0837974152071714,6250.144272484528,167.1
38,France,1750,1.0010383402081442,1.0286875846664232,4007.499480943724,166.2
39,France,1810,0.9983101292051104,1.122376947504237,8531.215729875083,163.89999999999998
40,France,1820,0.9983101292051104,1.1708490164551477,12611.867746251417,163.9
41,France,1830,0.998429540996382,1.167691591573353,12294.782460304881,164.0
42,France,1840,0.9987873399855008,1.242063908530944,22397.642731202577,164.3
43,France,1850,0.9998568301301539,1.2413831413515353,22275.01448689399,165.2
44,France,1860,1.0000937032694197,1.275564311679461,29344.996514085426,165.4
45,France,1870,1.0002120324514567,1.2373750873418936,21566.526049198073,165.5
46,France,1880,1.0006846352777503,1.2868156980335221,32132.232209098434,165.9
47,German world,1550,1.0029140491739055,0.9717602365972116,2532.1605434073367,167.8
48,German world,1650,1.0052336927292245,1.0907931817335863,6612.90070880277,169.8
49,German world,1710,0.998429540996382,1.1706444255653288,12591.076109920687,164.0
50,German world,1720,0.9980710868973659,1.2182497974187916,18483.993817560768,163.7
51,German world,1730,0.9981906445351092,1.1950298163789566,15327.460174568747,163.8
52,German world,1740,0.9979514562027055,1.2375780464456112,21601.854565784277,163.6
53,German world,1750,1.0026308683171845,1.2227416492861012,19165.849263900745,167.5574601129344
54,German world,1760,1.0034965417955792,1.2571236585488896,25289.92568632069,168.3
55,German world,1770,1.0028323214898225,1.24314311757758,22593.428162410994,167.72996552424866
56,German world,1780,0.9995317574068362,1.3025189210439119,36470.341984877385,164.92592372515128
57,German world,1790,0.9975773531464905,1.2907080238745694,33156.85816894917,163.2876790914955
58,German world,1800,0.9987873399855008,1.3217672625541943,42594.66344535062,164.3
59,German world,1810,1.0029140491739055,1.2884029065898943,32546.17333547814,167.8
60,German world,1820,1.0018833237711895,1.330876167736715,45841.43494174881,166.91888301387974
61,German world,1830,1.0012875507825045,1.3388563843627521,48888.65613106463,166.41169729537157
62,German world,1840,1.001283230211997,1.398543500271811,79114.51000715444,166.408024797658
63,German world,1850,0.9984409664475892,1.375958151415614,65940.65534127453,164.00957130730052
64,German world,1860,1.0003239246601539,1.4064701849531467,84337.07764713101,165.59461572832888
65,German world,1870,1.0017477741653122,1.3942399782131456,76415.85822383554,166.80335301469637
66,German world,1880,1.0029371842660806,1.4447761858620316,114863.33305003389,167.81983034321374
67,Greek World,1660,0.996751111389593,0.3773053526728735,20.9639715827286,162.6
68,Greek World,1690,0.99524025633974,0.3760041453410139,20.745132651599175,161.35
69,Greek World,1720,0.9981906445351092,0.480848896918566,48.31970545417087,163.8
70,Greek World,1730,1.001745566815826,0.4590073568374497,40.515995020469816,166.8014723351248
71,Greek World,1740,1.0016528640570368,0.24875338402169814,7.4341853963561615,166.72250797884692
72,Greek World,1750,1.0005459551452889,0.5075105910822354,59.91066580934137,165.7825242562591
73,Greek World,1760,0.9995264809968837,0.5981504827238528,124.44032401574472,164.92147881503791
74,Greek World,1770,0.9994472747708343,0.36943891415045893,19.67533623155744,164.85476894864436
75,Greek World,1780,0.9989210369483245,0.2452835028142489,7.229037573384821,164.4122402911503
76,Greek World,1790,1.0006846352777503,0.5395203998008246,77.55597113767877,165.9
77,Greek World,1800,0.999025509875848,0.700334119142231,283.69318985414696,164.5
78,Greek World,1810,0.9984036972920591,0.636535795726714,169.59060199601404,163.97835232164834
79,Greek World,1820,0.999198511424616,0.7088553925362971,303.87418184958034,164.64542838253024
80,Greek World,1830,0.9977780158442884,0.7277232176114836,353.81516046087916,163.45512865859052
81,Greek World,1840,0.9978322117448226,0.8060649323129763,665.518776795475,163.50038364946553
82,Greek World,1850,0.999122833717848,0.8713100369498215,1126.3533256120695,164.58179645445082
83,Greek World,1860,0.9995214619209228,0.866551173162124,1083.9449091858255,164.91725079729426
84,Greek World,1870,0.9999086332448357,0.8428878948440436,895.6307341231095,165.24371844983233
85,Greek World,1880,0.9997230048870092,0.9213145935582435,1685.8173194817007,165.08711375223095
86,Indian world,1840,0.9939669500766724,0.6144244862050822,141.8924124523527,160.304
87,Indian world,1850,0.9958133360035016,0.6463932565890018,183.62276989432584,161.823
88,Indian world,1860,0.9972069085734605,0.648023282620065,186.05251044957333,162.979
89,Indian world,1870,0.998152437741817,0.7347311756412408,374.3872903678098,163.7680365618134
90,Indian world,1880,0.9965428393601934,0.7737030642995412,512.6443402543439,162.42711318163612
91,Italy,1730,1.0026805659909301,1.0886259819092237,6498.327654886763,167.6
92,Italy,1740,1.0034965417955792,1.1750159294750793,13042.882933046903,168.3
93,Italy,1750,1.0013914072573433,1.117771655645422,8220.180587036068,166.5
94,Italy,1760,1.0008026079391812,1.1548341283824197,11083.805441315817,166.0
95,Italy,1770,0.9998568301301539,1.142662092026218,10047.48985672087,165.2
96,Italy,1780,0.9997382859995443,1.1769121638254658,13243.87167076715,165.1
97,Italy,1790,1.0006846352777503,1.123617653912805,8617.005536015318,165.9
98,Italy,1800,0.999025509875848,1.174602644928672,12999.483863213802,164.5
99,Italy,1810,0.9985488799977731,1.1585217152936411,11418.374721700266,164.1
100,Italy,1820,1.000566591484171,1.1889361048000524,14592.42911455505,165.8
101,Italy,1830,0.9985488799977731,1.169420932031907,12467.45150698765,164.1
102,Italy,1840,0.9960273559415754,1.252397130439393,24344.0801919715,162.0
103,Italy,1850,0.9971119882212139,1.2395354338927833,21945.555982385835,162.9
104,Italy,1860,0.9973522037430324,1.2850393455236886,31675.202724611867,163.1
105,Italy,1870,0.9978317523617887,1.248584116671424,23606.884634733393,163.5
106,Italy,1880,0.9983101292051104,1.2872594403806388,32247.42632267353,163.9
107,Japan,1880,0.9908723291718704,0.8809923505890492,1217.8280219789465,157.79
108,Korea,1870,0.9977239562909437,0.3114019967107364,12.321221685092322,163.41
109,Korea,1880,0.9947939145602706,0.5829306700020392,110.06653371232639,160.98256297383224
110,Low countries,1760,1.0048759429525653,0.92950916719561,1800.9894580062503,169.49
111,Low countries,1770,1.0038568187900336,0.904305207057029,1469.7276607099136,168.61
112,Low countries,1780,1.0003421119997729,0.9679539858725418,2455.6147412518503,165.61
113,Low countries,1790,0.9994772359720271,0.9260225168901128,1751.0539753290175,164.88
114,Low countries,1810,0.998771914052199,0.9518246372149077,2156.0996606099193,164.28705466534
115,Low countries,1820,0.9987472517169129,0.9904473587055156,2944.0215102204916,164.26636032599268
116,Low countries,1830,0.9985280013904694,1.0108908944318995,3471.701524492682,164.08250039166535
117,Low countries,1840,0.9994432990504438,1.0912138728790908,6635.374352787361,164.8514211886305
118,Low countries,1850,1.0005330595111974,1.105929458293209,7471.456438088207,165.77160461110375
119,Low countries,1860,1.001460561488271,1.1363981252223052,9552.535730281414,166.55882352941177
120,Low countries,1870,1.0017524398428108,1.1190079348539206,8302.546192449914,166.8073282793476
121,Low countries,1880,1.0037290544425295,1.165950420616483,12123.348090398833,168.5
122,Nordic countries,1730,1.0037290544425295,0.8689964792465757,1105.532833893861,168.5
123,Nordic countries,1740,1.0048874934777003,0.9753616122476251,2606.7818505171153,169.5
124,Nordic countries,1750,1.0034965417955792,0.9719078442957004,2535.17660331315,168.3
125,Nordic countries,1760,1.0031472542350957,1.0122758062783637,3510.6933191942417,168.0
126,Nordic countries,1770,1.0019784410576593,0.967328489977788,2443.2589378513994,167.0
127,Nordic countries,1780,1.0017438387219522,1.0304395826615378,4064.523784592538,166.8
128,Nordic countries,1790,1.0029140491739055,1.0519348097220669,4833.864945461015,167.8
129,Nordic countries,1800,1.0020956368861935,1.053002889880588,4875.681796385602,167.1
130,Nordic countries,1810,1.0059140305370575,1.0488076680990732,4713.483785134753,170.39109664742725
131,Nordic countries,1820,1.0033942801215296,1.075932737326353,5866.037151638668,168.21211293260473
132,Nordic countries,1830,1.0031534697038758,1.067060872243548,5460.997849306194,168.00533373512127
133,Nordic countries,1840,1.0030638421273228,1.1309855408206528,9144.535396276244,167.92843721356556
134,Nordic countries,1850,1.003516810257298,1.1412147730355353,9930.897264015694,168.31742483865892
135,Nordic countries,1860,1.0040189012642167,1.1743324666302513,12971.190490372064,168.74964987576234
136,Nordic countries,1870,1.005220869929045,1.1744356976520607,12981.993681392483,169.788878900732
137,Nordic countries,1880,1.0063430622790752,1.2267016966808948,19787.809958965903,170.76490900606623
171,Persian world,1850,1.0000108302672424,0.6580215295110909,201.67560835423035,165.33
172,Persian world,1870,1.0034500061106157,0.6864258548072374,253.59263218848355,168.26
173,Persian world,1880,0.9998449789466568,0.8103094285854895,688.6938882316256,165.19
174,Portugal,1720,0.9979514562027055,0.7027460908799393,289.265470941272,163.6
175,Portugal,1730,0.9987873399855008,0.6858484941489494,252.41460764422342,164.3
176,Portugal,1740,0.9995009821817379,0.8119919066925644,698.1020881530604,164.9
177,Portugal,1750,0.9996196700457671,0.7738323806454422,513.1792460098252,165.0
178,Portugal,1760,0.9997382859995443,0.7007849717746494,284.72655662816726,165.1
179,Portugal,1770,0.9989064611487257,0.7493385316297015,421.19370648176186,164.4
180,Portugal,1780,0.9981906445351092,0.8280913388971074,794.8873001302246,163.8
181,Portugal,1790,0.9975921248830102,0.8131010021820826,704.3741852378843,163.3
182,Portugal,1800,0.9987873399855008,0.813408405448422,706.1225479905468,164.3
183,Portugal,1810,1.0002037517362738,0.7485522319691109,418.5312965593558,165.493
184,Portugal,1820,1.001200830136515,0.7824831819851964,550.2596084231063,166.338
185,Portugal,1830,0.9999658273708223,0.7182016342560119,327.6634970989206,165.292
186,Portugal,1840,0.9978784455662033,0.8723638629946614,1135.966604482144,163.53900000000002
187,Portugal,1850,0.9986204484963658,0.801804027862645,643.0384311518488,164.16
188,Portugal,1860,0.9985083128988153,0.8945740007784594,1358.7961545030248,164.066
189,Portugal,1870,0.9992491256919585,0.8548184269641563,986.0852478275981,164.688
190,Portugal,1880,0.9986216410830462,0.9525559333853543,2168.853020232981,164.161
217,Spain,1740,0.9975921248830102,1.0244831682762512,3873.895797972499,163.3
218,Spain,1750,0.9979514562027055,0.9714347609946975,2525.52279128495,163.6
219,Spain,1760,0.9974722010656493,1.004818843242268,3305.792875818221,163.2
220,Spain,1770,0.9987873399855008,0.9616722790695384,2334.313564274294,164.3
221,Spain,1780,0.9975921248830102,1.0162968213800962,3626.403194239712,163.3
222,Spain,1830,0.9948151190918484,0.9346345491246315,1876.9914692621721,161.0
223,Spain,1840,0.9980710868973659,1.1064894478911678,7505.274401671756,163.7
224,Spain,1850,0.9966306711361973,1.1030868373940117,7302.125260212515,162.5
225,Spain,1860,0.9968714775942576,1.1489250161102273,10568.000618917862,162.7
226,Spain,1870,0.996751111389593,1.1325019328721648,9257.05094860068,162.6
227,Spain,1880,0.9983101292051104,1.1979623776673674,15694.272664260892,163.9
228,United Kingdom,1710,1.0031472542350957,0.9231408880887617,1710.8302548924273,168.0
229,United Kingdom,1720,0.9981906445351092,0.995447100103853,3065.1523374788585,163.8
230,United Kingdom,1730,1.0002120324514567,0.9547639209334539,2207.818524950038,165.5
231,United Kingdom,1740,1.0048874934777003,1.0112227418063517,3481.004957350868,169.5
232,United Kingdom,1750,1.0052336927292245,0.9774563245008752,2651.1921482898742,169.8
233,United Kingdom,1760,1.0052336927292245,1.03207150527788,4118.369529249343,169.8
234,United Kingdom,1770,1.0034965417955792,1.0310209859373636,4083.626138883562,168.3
235,United Kingdom,1780,1.0025637198963127,1.0789973877483692,6012.82321368671,167.5
236,United Kingdom,1790,1.0008026079391812,1.0482060676968177,4690.671003651324,166.0
237,United Kingdom,1810,1.005118360987615,1.0824681671738852,6183.501727849928,169.7
238,United Kingdom,1820,1.0044249401007557,1.1214332689463424,8466.536522120427,169.1
239,United Kingdom,1830,1.0016264320463375,1.1063585384454717,7497.355051766423,166.7
240,United Kingdom,1840,1.0013914072573433,1.1677287881735878,12298.47113569014,166.5
241,United Kingdom,1850,1.000330290157088,1.1681880016520572,12344.10123106204,165.6
242,United Kingdom,1860,1.001508954919668,1.196258073522423,15480.03869336164,166.6
243,United Kingdom,1870,1.002154208502403,1.1622261844775512,11764.644742003877,167.15
244,United Kingdom,1880,1.0030889790074826,1.2199243207559847,18735.30044625974,167.95
