,region_name,year,log_wellbeing_std,N_est_log_std
0,Arabic world,1820,-0.4806065216189049,0.6913525364556895
1,Arabic world,1830,-2.126505167670305,0.7146782878426915
2,Arabic world,1840,-2.179614077534867,0.8191344723879139
3,Arabic world,1850,-1.3924827420624477,0.8845912676848507
4,Arabic world,1860,-0.6650726994475243,0.9166955507982602
5,Arabic world,1870,-0.9148681325725576,0.8842790883156084
6,Arabic world,1880,-1.3637465625537706,0.9745193211226963
14,Chinese world,1820,1.0420849707159583,0.757383650001502
15,Chinese world,1830,1.3373919547398712,0.8276877272020468
16,Chinese world,1840,1.4638653231480077,0.8054316694089944
17,Chinese world,1850,0.4688295732954586,0.8018078733752997
18,Chinese world,1860,0.3352331548053509,0.8342000990186361
19,Chinese world,1870,0.4633590497166262,0.8093435859164981
20,Chinese world,1880,0.3231422773073727,0.8197755164555101
21,France,1820,1.0341222817268458,1.286502601457548
22,France,1830,1.334976590023645,1.28303329391469
23,France,1840,1.779826449914344,1.3647519253502327
24,France,1850,1.5547056996059625,1.3640039136638518
25,France,1860,1.8552041553720056,1.4015614158949046
26,France,1870,2.9660097194168342,1.3595999539408488
27,France,1880,3.5859374959597883,1.413924186509281
28,German world,1820,1.4948059283987662,1.4623368410001347
29,German world,1830,1.6528993924878943,1.4711053237893803
30,German world,1840,1.9840872016124216,1.5366881861493655
31,German world,1850,2.002966171799464,1.5118719121038071
32,German world,1860,2.3794091787596434,1.5453978492401257
33,German world,1870,3.341044897770864,1.5319595727704474
34,German world,1880,3.581034319063515,1.5874876226678882
35,Greek World,1820,0.7772639344523564,0.7788743840910864
36,Greek World,1830,0.5903896303388325,0.7996059265034153
37,Greek World,1840,0.8771051708094528,0.8856860430254043
38,Greek World,1850,1.109914990437043,0.9573758985644228
39,Greek World,1860,1.467493421105188,0.952146965920835
40,Greek World,1870,1.435958758139659,0.926146287193365
41,Greek World,1880,1.8283597780166156,1.0123197822397356
42,Indian world,1820,-0.1306489250046576,0.5551664869887256
43,Indian world,1830,-1.088762030982142,0.6137519080773285
44,Indian world,1840,-3.103130928898313,0.6751158251772217
45,Indian world,1850,-1.724503394044261,0.7102423920413509
46,Indian world,1860,-2.4549947864078048,0.7120334280331265
47,Indian world,1870,-1.160434827594507,0.8073061133844566
48,Indian world,1880,-2.1938291755711066,0.8501275493151225
49,Italy,1820,1.0148102532243186,1.3063762878863596
50,Italy,1830,0.9825923188120566,1.2849334543687434
51,Italy,1840,0.9942331390140065,1.3761058374941793
52,Italy,1850,1.3903205976509594,1.3619736942085596
53,Italy,1860,1.9076023759168248,1.4119723702691946
54,Italy,1870,0.460892592683792,1.3719161836080296
55,Italy,1880,1.0695828573562454,1.4144117606336295
56,Japan,1820,0.4365657921955194,0.7834177073662789
57,Japan,1830,1.1447437602493606,0.7355901086523677
58,Japan,1840,0.9869962173172548,0.8077703997804229
59,Japan,1850,0.8290827371564737,0.7497804939767371
60,Japan,1860,0.6983509988733609,0.9046903763234184
61,Japan,1870,0.4160889369392894,0.9180357370375956
62,Japan,1880,0.1182702976865188,0.9680146073218568
63,Korea,1820,1.965749892507188,0.2140374414360795
64,Korea,1830,2.456322428360764,0.3442496418463654
65,Korea,1840,2.540782087802228,0.54490129290082
66,Korea,1850,2.3350978415692225,0.5994004220490382
67,Korea,1860,2.1722556276822487,0.3425154379969769
68,Korea,1870,0.7979479147169704,0.3421615197494457
69,Korea,1880,0.3388006803176624,0.640511127299344
70,Low countries,1820,1.5291706869016404,1.088281311828915
71,Low countries,1830,1.6825760716900295,1.110744209713572
72,Low countries,1840,1.727358953778919,1.1990012943392128
73,Low countries,1850,2.475113591133697,1.2151704490732291
74,Low countries,1860,2.9697520516700187,1.248648735954232
75,Low countries,1870,3.216565529725579,1.2295407853693618
76,Low countries,1880,3.665689213010696,1.2811201343748055
77,Nordic countries,1820,0.9474709547312372,1.1822107258154055
78,Nordic countries,1830,0.8222220404862925,1.1724625197287104
79,Nordic countries,1840,1.22660649811544,1.2427015097829053
80,Nordic countries,1850,1.991161532784634,1.2539411603872186
81,Nordic countries,1860,2.2150984156437503,1.2903301382700112
82,Nordic countries,1870,2.954358775087701,1.2904435661981577
83,Nordic countries,1880,3.219044753528121,1.3478722720119518
105,Persian world,1820,-0.9270666254915904,0.741266838073744
106,Persian world,1830,-2.5767193269882678,0.693047147574086
107,Persian world,1840,-2.476233207132965,0.6966120268741596
108,Persian world,1850,-1.6972323976804855,0.7230192771516261
109,Persian world,1860,-1.2041158620133323,0.8282700680538783
110,Persian world,1870,-0.86293187646752,0.7542293118124347
111,Persian world,1880,-1.3032760225231,0.8903498001962455
112,Portugal,1820,1.3754615080736698,0.8597749454225193
113,Portugal,1830,1.6675628684510395,0.7891438245716942
114,Portugal,1840,1.4270797299011504,0.9585338189530608
115,Portugal,1850,1.745301075430011,0.8810042569173121
116,Portugal,1860,1.6105206833209234,0.9829378194996856
117,Portugal,1870,0.2811536652121835,0.9392552879215436
118,Portugal,1880,0.7212738570035941,1.0466470647464778
140,Spain,1820,2.201023546411489,1.1144816697921691
141,Spain,1830,1.4137359955049198,1.026955450243573
142,Spain,1840,2.146838609147503,1.2157857530658345
143,Spain,1850,2.217809651574537,1.2120470410758022
144,Spain,1860,2.1813195801583043,1.2624130023019793
145,Spain,1870,1.7160526749017382,1.2443676873102232
146,Spain,1880,1.688514563144269,1.3162941537786024
147,United Kingdom,1820,1.4193632988570624,1.2322056879959626
148,United Kingdom,1830,1.583548194860744,1.2156419127071918
149,United Kingdom,1840,1.9666112437984329,1.2830741647035746
150,United Kingdom,1850,2.17183068204744,1.2835787381595647
151,United Kingdom,1860,2.5676445937809413,1.3144215026636157
152,United Kingdom,1870,2.874543639091116,1.2770280273534549
153,United Kingdom,1880,3.4727539666717187,1.3404254435687333
